team_name,player_name,starting_position,xT_value,minutes_played
Ceara,Pedro Henrique,Sub,0.6314048478017715,918
Sport Recife,Matheusinho,AML,0.6261721580628274,527
Flamengo,Luiz Araújo,AMR,0.622016119071483,1083
Fortaleza,Eros Mancuso,Sub,0.6208757921531594,946
Red Bull Bragantino,Guzmán Rodríguez,DC,0.6162986599058045,1711
Internacional,Vitão,DC,0.6138471148739794,1416
Mirassol,João Victor,DC,0.6082613010456913,1626
Botafogo RJ,Alexander Barboza,DC,0.6066013034262697,1184
Corinthians,Ángel Romero,AMR,0.6057637206359081,1016
Vitoria,Jamerson,DL,0.6028902485613205,1141
Vitoria,Lucas Halter,DC,0.6018989162446653,1900
Santos FC,Zé Ivaldo,DC,0.597221923242476,1155
Palmeiras,Emiliano Martínez,Sub,0.5967530437017688,1043
Corinthians,Fabrizio Angileri,Sub,0.596048986184152,919
Atletico MG,Gabriel Menino,MC,0.5959447531617977,776
Mirassol,Everton Maceió,AMR,0.5954782421081908,168
Juventude,Nenê,Sub,0.5916706280944954,441
Bahia,Santiago Arias,Sub,0.5900051474601108,396
Palmeiras,Gustavo Gómez,Sub,0.5854338727921633,1493
Internacional,Thiago Maia,Sub,0.5847155483883726,1009
Santos FC,Luan Peres,Sub,0.5798185882989252,1186
Red Bull Bragantino,Eduardo Sasha,FW,0.5774493597907902,1533
Sao Paulo,Alisson,MC,0.5724919289665118,1510
Flamengo,Bruno Henrique,AMC,0.5723859947389974,1109
Sport Recife,Chico,DC,0.5698967418277551,1198
Santos FC,João Schmidt,DMC,0.5691305992680965,1058
Botafogo RJ,Jair,DC,0.5626919762965331,1112
Flamengo,Danilo,Sub,0.562372918322103,464
Atletico MG,Bernard,Sub,0.5554037403345642,363
Vitoria,Gabriel Baralhas,MC,0.5529200977908197,1274
Sport Recife,Rodrigo Atencio,Sub,0.5510996433493112,415
Red Bull Bragantino,Henry Mosquera,Sub,0.5509276894182658,636
Fluminense,Ganso,Sub,0.5440824102150154,594
Vitoria,Aitor Cantalapiedra,Sub,0.5420437472664853,170
Sao Paulo,Oscar,AMC,0.5384605647785426,387
Corinthians,Gustavo Henrique,DC,0.5363806235678877,812
Gremio,Mathías Villasanti,DMC,0.5344837920911286,1284
Atletico MG,Everson,GK,0.5341830720767089,1829
Sao Paulo,Lucas Ferreira,Sub,0.5341727224056262,865
Fortaleza,Marinho,FW,0.5294067837086284,696
Bahia,David Duarte,Sub,0.5182463300958224,1633
Corinthians,Igor Coronado,Sub,0.5167029087941359,392
Santos FC,Yeferson Soteldo,Sub,0.5142543952454287,582
Santos FC,Deivid Washington,Sub,0.5120126685641907,613
Botafogo RJ,David Ricardo,Sub,0.5072498667058988,900
Santos FC,Tomás Rincón,Sub,0.5027806227065688,832
Internacional,Bruno Henrique,DMC,0.5014072406950164,971
Vitoria,Gustavo Silva,FWR,0.4965444617492886,525
Palmeiras,Paulinho,Sub,0.4959189279233531,266
Gremio,João Pedro,Sub,0.4943516197106904,431
Palmeiras,Felipe Anderson,Sub,0.49380670109521074,848
Vitoria,Ronald,MC,0.4873804698811809,1356
Vitoria,Maykon Jesus,DL,0.4873167775219352,652
Gremio,Tiago Volpi,GK,0.4854846888246121,2018
Red Bull Bragantino,Vanderlan,Sub,0.48541176680528786,502
Mirassol,Yago Felipe,Sub,0.48424754387744096,580
Botafogo RJ,Danilo,Sub,0.4773770441715339,278
Gremio,Franco Cristaldo,Sub,0.4754071727807795,729
Juventude,Alan Ruschel,DL,0.4751953513583003,928
Vitoria,Matheuzinho,ML,0.47514918444129683,1143
Gremio,Alexander Aravena,Sub,0.4742923970991881,389
Botafogo RJ,Allan,Sub,0.4741580994401164,515
Fortaleza,Gustavo Mancha,Sub,0.4706931729947734,1118
Gremio,Marcos Rocha,Sub,0.4685565182855547,201
Atletico MG,Caio Paulista,Sub,0.4671097083392722,393
Ceara,Willian Machado,DC,0.46655541349455626,2001
Corinthians,Memphis Depay,FW,0.46642204395871395,1064
Ceara,Richardson,DMC,0.46496290951663516,438
Santos FC,Gustavo Caballero,Sub,0.4644608900318966,196
Internacional,Johan Carbonero,Sub,0.46431623617685747,489
Botafogo RJ,Matheus Martins,Sub,0.4593323285595091,514
Ceara,Nicolas,Sub,0.4581449359325227,554
Palmeiras,Richard Ríos,DMC,0.45504343524792035,789
Ceara,Marllon,DC,0.4531815665186609,1832
Fluminense,Yeferson Soteldo,Sub,0.45064341517902434,582
Internacional,Óscar Romero,Sub,0.44997018189064736,306
Palmeiras,Bruno Fuchs,Sub,0.4496936427311149,806
Botafogo RJ,Santiago Rodríguez,Sub,0.44755180156052743,454
Gremio,Francis Amuzu,AML,0.444244192486799,500
Flamengo,Guillermo Varela,Sub,0.4402057089576668,978
Internacional,Ramon,Sub,0.4366520450299797,659
Botafogo RJ,Jeffinho,Sub,0.43449478005556047,223
Ceara,Rafael Ramos,Sub,0.43257381015560864,570
Fortaleza,Breno Lopes,FW,0.4315496805885529,976
Cruzeiro,Christian,AMR,0.4165678866908826,1354
Vitoria,Zé Marcos,Sub,0.4147001271911217,1636
Palmeiras,Aníbal Moreno,Sub,0.4131063283257602,891
Sport Recife,Christian Rivera,MC,0.41195819318070487,1531
Juventude,Gabriel Veron,Sub,0.4112302093278624,683
Sao Paulo,Luan Silva,Sub,0.4098587976049395,124
Fortaleza,Emmanuel Martínez,MC,0.40913291013868963,818
Sao Paulo,Wendell,ML,0.4077339397866461,700
Fortaleza,Benjamín Kuscevic,DC,0.4012809604437934,1688
Corinthians,Breno Bidon,AMC,0.3994228118847973,1588
Fortaleza,Juan Lucero,FW,0.3983619058547282,1078
Atletico MG,Rony,FW,0.3891515038954752,1587
Mirassol,Jemmes,DC,0.3848512689909097,1931
Flamengo,Allan,Sub,0.3847367563458824,551
Red Bull Bragantino,Gabriel,DMC,0.3839305784404507,1638
Red Bull Bragantino,Nathan Mendes,Sub,0.3812479565540626,660
